Source File Path,Production URL,Is Valid
"content/app-services/source/cli/appservices-schema-datamodels.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-schema-datamodels/",true
"content/app-services/source/cli/appservices-schema-generate.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-schema-generate/",true
"content/app-services/source/cli/appservices-schema-validate.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-schema-validate/",true
"content/app-services/source/cli/appservices-schema.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-schema/",true
"content/app-services/source/cli/appservices-secrets-create.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-secrets-create/",true
"content/app-services/source/cli/appservices-secrets-delete.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-secrets-delete/",true
"content/app-services/source/cli/appservices-secrets-list.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-secrets-list/",true
"content/app-services/source/cli/appservices-secrets-update.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-secrets-update/",true
"content/app-services/source/cli/appservices-secrets.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-secrets/",true
"content/app-services/source/cli/appservices-users-count.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-count/",true
"content/app-services/source/cli/appservices-users-create.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-create/",true
"content/app-services/source/cli/appservices-users-delete.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-delete/",true
"content/app-services/source/cli/appservices-users-disable.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-disable/",true
"content/app-services/source/cli/appservices-users-enable.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-enable/",true
"content/app-services/source/cli/appservices-users-list.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-list/",true
"content/app-services/source/cli/appservices-users-revoke.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users-revoke/",true
"content/app-services/source/cli/appservices-users.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-users/",true
"content/app-services/source/cli/appservices-whoami.txt","https://www.mongodb.com/docs/atlas/app-services/cli/appservices-whoami/",true
"content/app-services/source/cli.txt","https://www.mongodb.com/docs/atlas/app-services/cli/",true
"content/app-services/source/data-api/authenticate.txt","https://www.mongodb.com/docs/atlas/app-services/data-api/authenticate/",true
"content/app-services/source/data-api/custom-endpoints.txt","https://www.mongodb.com/docs/atlas/app-services/data-api/custom-endpoints/",true
"content/app-services/source/data-api/data-api-deprecation.txt","https://www.mongodb.com/docs/atlas/app-services/data-api/data-api-deprecation/",true
